Mesorregião,Cluster
Agreste Alagoano - AL,3
Agreste Paraibano - PB,3
Agreste Pernambucano - PE,3
Agreste Potiguar - RN,3
Agreste Sergipano - SE,3
Araraquara - SP,0
Araçatuba - SP,0
Assis - SP,1
Baixadas - RJ,3
Baixo Amazonas - PA,0
Bauru - SP,1
Borborema - PB,3
Campinas - SP,1
Campo das Vertentes - MG,1
Central Espírito-santense - ES,3
Central Mineira - MG,0
Central Potiguar - RN,3
Centro Amazonense - AM,3
Centro Fluminense - RJ,3
Centro Goiano - GO,1
Centro Maranhense - MA,0
Centro Norte Baiano - BA,3
Centro Norte de Mato Grosso do Sul - MS,2
Centro Ocidental Paranaense - PR,1
Centro Ocidental Rio-grandense - RS,2
Centro Oriental Paranaense - PR,1
Centro Oriental Rio-grandense - RS,2
Centro Sul Baiano - BA,3
Centro-Norte Piauiense - PI,0
Centro-Sul Cearense - CE,3
Centro-Sul Mato-grossense - MT,0
Centro-Sul Paranaense - PR,1
Distrito Federal - DF,1
Extremo Oeste Baiano - BA,1
Grande Florianópolis - SC,2
Itapetininga - SP,1
Jaguaribe - CE,2
Jequitinhonha - MG,3
Leste Alagoano - AL,2
Leste Goiano - GO,1
Leste Maranhense - MA,0
Leste Potiguar - RN,3
Leste Rondoniense - RO,0
Leste Sergipano - SE,2
Leste de Mato Grosso do Sul - MS,1
Litoral Norte Espírito-santense - ES,3
Litoral Sul Paulista - SP,3
Macro Metropolitana Paulista - SP,1
Madeira-Guaporé - RO,0
Marajó - PA,3
Marília - SP,0
Mata Paraibana - PB,3
Mata Pernambucana - PE,3
Metropolitana de Belo Horizonte - MG,0
Metropolitana de Belém - PA,3
Metropolitana de Curitiba - PR,1
Metropolitana de Fortaleza - CE,3
Metropolitana de Porto Alegre - RS,2
Metropolitana de Recife - PE,3
Metropolitana de Salvador - BA,3
Metropolitana de São Paulo - SP,3
Metropolitana do Rio de Janeiro - RJ,3
Nordeste Baiano - BA,3
Nordeste Mato-grossense - MT,0
Nordeste Paraense - PA,0
Nordeste Rio-grandense - RS,1
Noroeste Cearense - CE,3
Noroeste Espírito-santense - ES,3
Noroeste Fluminense - RJ,3
Noroeste Goiano - GO,1
Noroeste Paranaense - PR,2
Noroeste Rio-grandense - RS,2
Noroeste de Minas - MG,1
Norte Amazonense - AM,3
Norte Catarinense - SC,2
Norte Cearense - CE,3
Norte Central Paranaense - PR,1
Norte Fluminense - RJ,3
Norte Goiano - GO,1
Norte Maranhense - MA,3
Norte Mato-grossense - MT,1
Norte Piauiense - PI,3
Norte Pioneiro Paranaense - PR,1
Norte de Minas - MG,0
Norte de Roraima - RR,2
Norte do Amapá - AP,3
Ocidental do Tocantins - TO,0
Oeste Catarinense - SC,1
Oeste Maranhense - MA,0
Oeste Paranaense - PR,1
Oeste Potiguar - RN,3
Oeste de Minas - MG,1
Oriental do Tocantins - TO,0
Pantanais Sul Mato-grossense - MS,2
Piracicaba - SP,1
Presidente Prudente - SP,0
Ribeirão Preto - SP,1
Serrana - SC,1
Sertão Alagoano - AL,3
Sertão Paraibano - PB,3
Sertão Pernambucano - PE,3
Sertão Sergipano - SE,3
Sertões Cearenses - CE,3
Sudeste Mato-grossense - MT,1
Sudeste Paraense - PA,0
Sudeste Paranaense - PR,1
Sudeste Piauiense - PI,3
Sudeste Rio-grandense - RS,2
Sudoeste Amazonense - AM,3
Sudoeste Mato-grossense - MT,0
Sudoeste Paraense - PA,0
Sudoeste Paranaense - PR,1
Sudoeste Piauiense - PI,0
Sudoeste Rio-grandense - RS,2
Sudoeste de Mato Grosso do Sul - MS,2
Sul Amazonense - AM,0
Sul Baiano - BA,3
Sul Catarinense - SC,2
Sul Cearense - CE,3
Sul Espírito-santense - ES,3
Sul Fluminense - RJ,3
Sul Goiano - GO,1
Sul Maranhense - MA,0
Sul de Roraima - RR,3
Sul do Amapá - AP,3
Sul/Sudoeste de Minas - MG,1
São Francisco Pernambucano - PE,3
São José do Rio Preto - SP,1
Triângulo Mineiro/Alto Paranaíba - MG,1
Vale São-Franciscano da Bahia - BA,0
Vale do Acre - AC,0
Vale do Itajaí - SC,2
Vale do Juruá - AC,3
Vale do Mucuri - MG,3
Vale do Paraíba Paulista - SP,2
Vale do Rio Doce - MG,3
Zona da Mata - MG,0
